Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;13.5523;;28.5429;;;;85.4232;;0.0114441;19.3492;
20120618;03;00;;;14.0489;;28.7384;;;;85.1188;;0;-9.99e+08;
20120618;06;00;;;14.6763;;28.8492;;;;84.6747;;0;19.2575;
20120618;09;00;;;15.5376;;28.8544;;;;84.0694;;0;-9.99e+08;
20120618;12;00;;;14.2328;;28.8464;;;;83.497;;0;20.4377;
20120618;15;00;;;14.0792;;28.6774;;;;82.9008;;-0.0038147;-9.99e+08;
20120618;18;00;;;14.38;;28.2428;;;;84.717;;0;19.2273;
20120618;21;00;;;14.7164;;27.7807;;;;87.449;;0.00762939;-9.99e+08;
20120619;00;00;;;14.154;;27.5517;;;;87.4427;;0.0152588;19.856;
20120619;03;00;;;13.4599;;27.8374;;;;84.6917;;0.00762939;-9.99e+08;
20120619;06;00;;;12.9167;;28.2215;;;;81.9345;;0;19.0403;
20120619;09;00;;;11.4822;;28.1779;;;;82.2886;;0;-9.99e+08;
20120619;12;00;;;11.073;;28.1415;;;;83.1892;;0;17.2966;
20120619;15;00;;;10.8821;;28.1901;;;;83.054;;0;-9.99e+08;
20120619;18;00;;;10.5514;;28.2466;;;;82.2148;;0;15.0615;
20120619;21;00;;;11.0145;;27.9858;;;;84.179;;0;-9.99e+08;
20120620;00;00;;;11.774;;27.9891;;;;84.7598;;0;15.7873;
20120620;03;00;;;13.0145;;28.3368;;;;83.1429;;0;-9.99e+08;
20120620;06;00;;;12.304;;28.5425;;;;81.6056;;0.00762939;17.3897;
20120620;09;00;;;10.9824;;28.6117;;;;81.5553;;0;-9.99e+08;
20120620;12;00;;;11.6792;;28.6775;;;;81.5574;;0;16.3906;
20120620;15;00;;;11.6792;;28.6775;;;;81.5574;;0;16.3906;
20120620;18;00;;;13.0721;;27.9645;;;;85.2672;;0.0915527;18.0062;
20120620;21;00;;;13.0721;;27.9645;;;;85.2672;;0.0915527;18.0062;
20120621;00;00;;;12.1741;;27.8691;;;;84.8234;;0.595093;17.622;
