Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;16.4878;;28.6991;;;;84.9413;;0.0152588;22.1076;
20120618;03;00;;;16.2828;;28.9259;;;;83.9098;;0.0114441;-9.99e+08;
20120618;06;00;;;16.3152;;29.068;;;;82.7569;;0;22.3805;
20120618;09;00;;;15.7013;;29.1044;;;;82.1718;;0.0038147;-9.99e+08;
20120618;12;00;;;15.7553;;29.0026;;;;82.9107;;0;21.2616;
20120618;15;00;;;15.8906;;28.8649;;;;83.5219;;0;-9.99e+08;
20120618;18;00;;;16.7852;;28.5866;;;;84.3796;;0;21.9915;
20120618;21;00;;;15.5849;;28.4995;;;;84.3716;;0;-9.99e+08;
20120619;00;00;;;15.5314;;28.6142;;;;83.0568;;0.00762939;22.0089;
20120619;03;00;;;15.6827;;28.6499;;;;82.2241;;0;-9.99e+08;
20120619;06;00;;;16.5562;;28.659;;;;81.6262;;0.0305176;21.8671;
20120619;09;00;;;15.1492;;28.7091;;;;81.6331;;0.00762939;-9.99e+08;
20120619;12;00;;;15.1702;;28.6415;;;;81.4522;;0.00762939;21.7447;
20120619;15;00;;;15.207;;28.5651;;;;81.8973;;0;-9.99e+08;
20120619;18;00;;;14.7492;;28.2153;;;;83.4139;;0;20.286;
20120619;21;00;;;14.3882;;28.0483;;;;83.574;;0;-9.99e+08;
20120620;00;00;;;13.7461;;28.2391;;;;82.5919;;0.00762939;19.5159;
20120620;03;00;;;13.8429;;28.5868;;;;81.3824;;0;-9.99e+08;
20120620;06;00;;;12.9322;;28.6988;;;;81.3871;;0;18.5287;
20120620;09;00;;;12.8961;;28.7992;;;;80.1777;;-0.00762939;-9.99e+08;
20120620;12;00;;;13.8234;;28.8025;;;;80.752;;0.00762939;18.3612;
20120620;15;00;;;13.8234;;28.8025;;;;80.752;;0.0152588;18.3612;
20120620;18;00;;;13.3897;;28.3708;;;;82.7378;;0.0915527;18.1562;
20120620;21;00;;;13.3897;;28.3708;;;;82.7378;;0.0915527;18.1562;
20120621;00;00;;;14.2748;;28.3066;;;;83.0317;;0.396729;18.8541;
