Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;11.3741;;29.3866;;;;77.6515;;-4.19583e-20;15.1973;
20120618;03;00;;;10.6488;;29.8947;;;;76.6659;;0;-9.99e+08;
20120618;06;00;;;14.8278;;30.2555;;;;82.4034;;0.0495911;19.117;
20120618;09;00;;;13.1228;;30.0107;;;;78.5927;;0.457764;-9.99e+08;
20120618;12;00;;;16.4806;;29.9089;;;;81.9366;;0.0724792;22.1937;
20120618;15;00;;;19.151;;29.8024;;;;79.4094;;0;-9.99e+08;
20120618;18;00;;;21.2784;;29.3678;;;;80.0726;;0;28.0304;
20120618;21;00;;;22.675;;29.1557;;;;80.7407;;0;-9.99e+08;
20120619;00;00;;;24.1871;;29.208;;;;80.6408;;0;32.3572;
20120619;03;00;;;25.641;;29.4624;;;;81.4846;;0;-9.99e+08;
20120619;06;00;;;27.0715;;29.7215;;;;81.3889;;0;36.2401;
20120619;09;00;;;24.913;;30.2404;;;;79.1579;;0;-9.99e+08;
20120619;12;00;;;23.8371;;30.4228;;;;77.135;;0;36.4158;
20120619;15;00;;;24.0578;;29.8776;;;;78.4829;;0;-9.99e+08;
20120619;18;00;;;25.4754;;29.2778;;;;81.263;;0;34.154;
20120619;21;00;;;26.668;;29.2358;;;;80.8453;;0;-9.99e+08;
20120620;00;00;;;26.9938;;29.2704;;;;80.5837;;0;37.5074;
20120620;03;00;;;25.083;;29.6805;;;;79.7694;;0;-9.99e+08;
20120620;06;00;;;26.6205;;29.6675;;;;81.726;;0;36.5031;
20120620;09;00;;;25.6333;;30.0804;;;;80.6681;;0;-9.99e+08;
20120620;12;00;;;25.5684;;29.865;;;;82.1544;;0;36.2653;
20120620;15;00;;;25.5684;;29.865;;;;82.1544;;0;36.2653;
20120620;18;00;;;22.5386;;29.1208;;;;84.1411;;0;35.3826;
20120620;21;00;;;22.5386;;29.1208;;;;84.1411;;0;35.3826;
20120621;00;00;;;21.0581;;29.4004;;;;81.5997;;0;30.0264;
