Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;8.68512;;28.2929;;;;84.6575;;0.0038147;14.0829;
20120618;03;00;;;8.01369;;28.4884;;;;83.7461;;0;-9.99e+08;
20120618;06;00;;;5.60874;;28.568;;;;82.5864;;0;11.7625;
20120618;09;00;;;4.95543;;28.5419;;;;82.2318;;0;-9.99e+08;
20120618;12;00;;;4.476;;28.4089;;;;82.1335;;0;8.26491;
20120618;15;00;;;5.59264;;28.1462;;;;83.6947;;-0.0038147;-9.99e+08;
20120618;18;00;;;5.87529;;27.8678;;;;84.559;;0.00762939;8.4442;
20120618;21;00;;;3.71332;;27.6245;;;;84.5365;;0.0152588;-9.99e+08;
20120619;00;00;;;2.05667;;27.6767;;;;83.3263;;0;8.72928;
20120619;03;00;;;3.93457;;28.0249;;;;81.8018;;0;-9.99e+08;
20120619;06;00;;;3.71848;;28.409;;;;80.0819;;0;6.80677;
20120619;09;00;;;5.74704;;28.4904;;;;80.0928;;0;-9.99e+08;
20120619;12;00;;;7.12901;;28.1728;;;;82.8304;;0.0305176;9.99524;
20120619;15;00;;;6.49153;;27.8151;;;;84.3589;;0.0839233;-9.99e+08;
20120619;18;00;;;3.58469;;27.3716;;;;85.9348;;0.12207;9.95277;
20120619;21;00;;;4.77921;;26.2983;;;;90.4843;;0.793457;-9.99e+08;
20120620;00;00;;;6.06376;;26.8954;;;;87.0629;;0.564575;9.33645;
20120620;03;00;;;5.77263;;26.4618;;;;87.7405;;0.671387;-9.99e+08;
20120620;06;00;;;5.02151;;26.605;;;;87.6132;;0.350952;11.3374;
20120620;09;00;;;4.40013;;26.5492;;;;88.1967;;0.915527;-9.99e+08;
20120620;12;00;;;5.80519;;26.3025;;;;88.8307;;1.53351;11.7261;
20120620;15;00;;;5.80519;;26.3025;;;;88.8307;;0.617981;11.7261;
20120620;18;00;;;0.73221;;25.3395;;;;90.4014;;1.12915;11.6293;
20120620;21;00;;;0.73221;;25.3395;;;;90.4014;;1.12915;11.6293;
20120621;00;00;;;5.15677;;25.0254;;;;92.2382;;9.70459;10.8711;
