Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rh;sy2;
20120618;16;00;981320/Itbayat;;;;;;;;;
20120618;16;00;981320/Itbayat;;;;;;;;;
20120618;16;00;981330/Calayan;;;;;;;;;
20120618;16;00;981340/Basco/Radar;;;;;;;;;
20120618;16;00;982220/Vigan;;;;;;;;;
20120618;16;00;982220/Vigan;;;;;;;;;
20120618;16;00;982230/Laoag;;;;;;;;;
20120618;16;00;982230/Laoag;;;;;;;;;
20120618;16;00;982320/Aparri;;;;;;;;;
20120618;16;00;982320/Aparri;;;;;;;;;
20120618;16;00;982330/Tuguegarao;;;;;;;;;
20120618;16;00;982330/Tuguegarao;;;;;;;;;
20120618;16;00;983240/Iba;;;;;;;;;
20120618;16;00;983240/Iba;;;;;;;;;
20120618;16;00;983250/Dagupan;;;;;;;;;
20120618;16;00;983270/Angeles/Diosdado Macapagal ;;;;;;;;;
20120618;16;00;983270/Angeles/Diosdado Macapagal ;180.0;6.0;;26.0;;3;84.0;38;
20120618;16;00;983280/Baguio;;;;;;;;;
20120618;16;00;983280/Baguio;;;;;;;;;
20120618;16;00;983300/Cabanatuan;;;;;;;;;
20120618;16;00;983300/Cabanatuan;;;;;;;;;
20120618;16;00;983340/Baler/Radar;;;;;;;;;
20120618;16;00;983360/Casiguran;;;;;;;;;
20120618;16;00;984250/Manila;;;;;;;;;
20120618;16;00;984250/Manila;;;;;;;;;
20120618;16;00;984260/Subic Bay-Airport;;;;;;;;;
20120618;16;00;984260/Subic Bay-Airport;210.0;18.0;;29.0;;3;70.0;38;
20120618;16;00;984270/Tayabas;;;;;;;;;
20120618;16;00;984280/Sangley Point;;;;;;;;;
20120618;16;00;984280/Sangley Point;;;;;;;;;
20120618;16;00;984290/Manila-Ninoy Aquino Intl.;0.0;0.0;;27.0;;4;74.0;39;
20120618;16;00;984300/Quezon City-Science Garden;;;;;;;;;
20120618;16;00;984310/Calapan;;;;;;;;;
20120618;16;00;984310/Calapan;;;;;;;;;
20120618;16;00;984320/Ambulong;;;;;;;;;
20120618;16;00;984330/Tanay;;;;;;;;;
20120618;16;00;984340/Infanta;;;;;;;;;
20120618;16;00;984350/Alabat;;;;;;;;;
20120618;16;00;984350/Alabat;;;;;;;;;
20120618;16;00;984400/Daet;;;;;;;;;
20120618;16;00;984400/Daet;;;;;;;;;
20120618;16;00;984420/Pili;;;;;;;;;
20120618;16;00;984440/Legaspi;;;;;;;;;
20120618;16;00;984440/Legaspi;;;;;;;;;
20120618;16;00;984460/Virac;;;;;;;;;
20120618;16;00;984460/Virac;;;;;;;;;
20120618;16;00;984470/Catanduanes;;;;;;;;;
20120618;16;00;985260/Coron;;;;;;;;;
20120618;16;00;985310/San Jose;;;;;;;;;
20120618;16;00;985310/San Jose;;;;;;;;;
20120618;16;00;985360/Romblon;;;;;;;;;
20120618;16;00;985360/Romblon;;;;;;;;;
20120618;16;00;985380/Roxas;;;;;;;;;
20120618;16;00;985380/Roxas;;;;;;;;;
20120618;16;00;985430/Masbate;;;;;;;;;
20120618;16;00;985430/Masbate;;;;;;;;;
20120618;16;00;985460/Catarman;;;;;;;;;
20120618;16;00;985460/Catarman;;;;;;;;;
20120618;16;00;985480/Catbalogan;;;;;;;;;
20120618;16;00;985500/Tacloban;;;;;;;;;
20120618;16;00;985500/Tacloban;;;;;;;;;
20120618;16;00;985530/Borongan;;;;;;;;;
20120618;16;00;985580/Guiuan;;;;;;;;;
20120618;16;00;985580/Guiuan;;;;;;;;;
20120618;16;00;986180/Puerto Princesa;;;;;;;;;
20120618;16;00;986180/Puerto Princesa;;;;;;;;;
20120618;16;00;986190/Lapu-Lapu/ Mactan Intl;;;;;;;;;
20120618;16;00;986190/Lapu-Lapu/ Mactan Intl;240.0;6.0;;28.0;;2;84.0;37;
20120618;16;00;986300/Cuyo;;;;;;;;;
20120618;16;00;986370/Iloilo;;;;;;;;;
20120618;16;00;986370/Iloilo;;;;;;;;;
20120618;16;00;986420/Dumaguete;;;;;;;;;
20120618;16;00;986420/Dumaguete;;;;;;;;;
20120618;16;00;986440/Tagbilaran;;;;;;;;;
20120618;16;00;986440/Tagbilaran;;;;;;;;;
20120618;16;00;986460/Mactan;;;;;;;;;
20120618;16;00;986460/Mactan;;;;;;;;;
20120618;16;00;986480/Maasin;;;;;;;;;
