Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;23.5288;;28.0429;;;;86.8915;;0.148773;32.9306;
20120618;03;00;;;23.8992;;28.2697;;;;84.8292;;0.404358;-9.99e+08;
20120618;06;00;;;23.4675;;28.943;;;;82.0305;;0;33.5167;
20120618;09;00;;;22.6696;;29.0732;;;;81.9319;;0.00762939;-9.99e+08;
20120618;12;00;;;22.8163;;28.9401;;;;82.7847;;0.0228882;31.0196;
20120618;15;00;;;22.9367;;28.8337;;;;82.9166;;0.0305176;-9.99e+08;
20120618;18;00;;;24.4729;;28.5241;;;;83.2783;;0.221252;34.2421;
20120618;21;00;;;24.5062;;27.187;;;;90.0256;;0.75531;-9.99e+08;
20120619;00;00;;;22.4844;;26.9892;;;;92.1908;;1.99127;36.0307;
20120619;03;00;;;22.9641;;27.3062;;;;90.5808;;0.930786;-9.99e+08;
20120619;06;00;;;25.363;;28.6278;;;;82.5724;;0.366211;36.8856;
20120619;09;00;;;24.2353;;28.9279;;;;81.8924;;0.0534058;-9.99e+08;
20120619;12;00;;;24.0574;;28.829;;;;82.4188;;0.0457764;33.6669;
20120619;15;00;;;24.7222;;28.8463;;;;82.164;;0.106812;-9.99e+08;
20120619;18;00;;;22.9225;;27.5278;;;;88.9068;;0.526428;33.2827;
20120619;21;00;;;21.8008;;27.3296;;;;90.1444;;1.89209;-9.99e+08;
20120620;00;00;;;21.8747;;27.0829;;;;91.4374;;3.85284;33.2757;
20120620;03;00;;;23.7272;;28.2743;;;;85.9689;;1.28937;-9.99e+08;
20120620;06;00;;;22.6662;;28.105;;;;86.8314;;0.25177;34.5705;
20120620;09;00;;;21.9182;;28.3617;;;;86.0324;;0.38147;-9.99e+08;
20120620;12;00;;;22.0597;;28.5213;;;;85.5403;;0.762939;30.8377;
20120620;15;00;;;22.0597;;28.5213;;;;85.5403;;0.38147;30.8377;
20120620;18;00;;;19.4866;;27.652;;;;90.1394;;1.12915;29.2013;
20120620;21;00;;;19.4866;;27.652;;;;90.1394;;1.12915;29.2013;
20120621;00;00;;;20.4611;;27.5879;;;;87.4516;;5.2948;30.0852;
