Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;23.3777;;27.3554;;;;92.3997;;1.65176;34.3279;
20120618;03;00;;;27.3312;;27.9259;;;;89.1328;;3.92914;-9.99e+08;
20120618;06;00;;;24.7044;;27.5055;;;;91.2804;;1.59073;38.6482;
20120618;09;00;;;23.3735;;27.4169;;;;93.0603;;4.82941;-9.99e+08;
20120618;12;00;;;24.148;;27.3464;;;;93.0975;;5.3215;37.3547;
20120618;15;00;;;24.3905;;27.2087;;;;93.1178;;5.75256;-9.99e+08;
20120618;18;00;;;24.4791;;27.1178;;;;93.5674;;7.99561;38.3085;
20120618;21;00;;;25.1193;;27.1557;;;;93.8482;;7.69043;-9.99e+08;
20120619;00;00;;;28.7623;;26.7705;;;;93.2864;;6.00433;39.6852;
20120619;03;00;;;26.6645;;27.0874;;;;94.1393;;2.65503;-9.99e+08;
20120619;06;00;;;29.9855;;27.5653;;;;90.0542;;2.28119;44.5553;
20120619;09;00;;;29.7394;;27.9591;;;;87.341;;1.95312;-9.99e+08;
20120619;12;00;;;26.0271;;27.204;;;;93.0953;;7.53784;43.9925;
20120619;15;00;;;24.5618;;27.1901;;;;92.9343;;6.61469;-9.99e+08;
20120619;18;00;;;25.3592;;27.0903;;;;92.6473;;7.49207;37.9395;
20120619;21;00;;;23.2139;;27.2983;;;;91.6243;;4.21143;-9.99e+08;
20120620;00;00;;;25.0924;;27.3954;;;;91.1835;;3.49426;39.5729;
20120620;03;00;;;23.1898;;27.8368;;;;89.9375;;1.26648;-9.99e+08;
20120620;06;00;;;23.7303;;27.73;;;;89.9225;;3.12042;36.6474;
20120620;09;00;;;19.9837;;27.2679;;;;92.6704;;3.8681;-9.99e+08;
20120620;12;00;;;20.9806;;28.0213;;;;87.5235;;6.6452;33.4784;
20120620;15;00;;;20.9806;;28.0213;;;;87.5235;;2.7771;33.4784;
20120620;18;00;;;22.9287;;28.1208;;;;88.4608;;1.38855;30.8263;
20120620;21;00;;;22.9287;;28.1208;;;;88.4608;;1.38855;30.8263;
20120621;00;00;;;21.5972;;27.8066;;;;86.7014;;12.2833;30.7725;
