Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;7.70699;;27.6679;;;;84.3529;;0.236511;12.9439;
20120618;03;00;;;6.7961;;27.1447;;;;87.1282;;0.370026;-9.99e+08;
20120618;06;00;;;5.71741;;27.068;;;;87.0344;;0.183105;13.1066;
20120618;09;00;;;8.58762;;26.5419;;;;90.6919;;0.522614;-9.99e+08;
20120618;12;00;;;8.1653;;27.3464;;;;85.7025;;0.0419617;13.9716;
20120618;15;00;;;8.46488;;27.6774;;;;83.8937;;0.106812;-9.99e+08;
20120618;18;00;;;8.27298;;27.6491;;;;83.9231;;0.144958;12.5201;
20120618;21;00;;;6.53236;;27.7807;;;;82.9624;;0.1297;-9.99e+08;
20120619;00;00;;;5.63408;;27.8017;;;;83.2173;;0.152588;11.7725;
20120619;03;00;;;6.80753;;27.3999;;;;86.7909;;0.259399;-9.99e+08;
20120619;06;00;;;5.1155;;27.534;;;;84.7806;;0.236511;10.8353;
20120619;09;00;;;3.66945;;27.3341;;;;85.5135;;0.274658;-9.99e+08;
20120619;12;00;;;7.914;;26.204;;;;92.219;;1.77002;12.0076;
20120619;15;00;;;6.45952;;26.0963;;;;90.9591;;0.717163;-9.99e+08;
20120619;18;00;;;5.14067;;26.4341;;;;87.6525;;0.244141;11.986;
20120619;21;00;;;4.06207;;25.7358;;;;91.267;;0.839233;-9.99e+08;
20120620;00;00;;;3.47594;;25.0204;;;;92.7119;;2.9068;8.40811;
20120620;03;00;;;6.28238;;25.5868;;;;88.8599;;0.991821;-9.99e+08;
20120620;06;00;;;3.34689;;25.5738;;;;88.0581;;0.930786;10.878;
20120620;09;00;;;3.13692;;25.7367;;;;87.744;;0.892639;-9.99e+08;
20120620;12;00;;;4.78253;;26.2713;;;;87.1299;;1.091;7.9919;
20120620;15;00;;;4.78253;;26.2713;;;;87.1299;;0.198364;7.9919;
20120620;18;00;;;9.03226;;27.4645;;;;81.3315;;0.595093;14.0441;
20120620;21;00;;;9.03226;;27.4645;;;;81.3315;;0.595093;14.0441;
20120621;00;00;;;5.41478;;26.2754;;;;85.6841;;0.579834;12.8398;
