Datum;utc;min;ort1;dir;ff;g3h;tl;rr;sy;rain6;rh;sy2;rain3;g6h;
20120618;00;00;;;6.47995;;28.4179;;;;82.8438;;0.0534058;14.5481;
20120618;03;00;;;6.96061;;28.4572;;;;82.8967;;0.0228882;-9.99e+08;
20120618;06;00;;;7.26233;;28.193;;;;84.3682;;0.114441;10.4412;
20120618;09;00;;;8.78963;;27.4794;;;;88.6263;;0.476837;-9.99e+08;
20120618;12;00;;;7.82311;;27.6901;;;;87.3837;;0.259399;12.7927;
20120618;15;00;;;7.88201;;27.9587;;;;85.1545;;0.0343323;-9.99e+08;
20120618;18;00;;;6.97506;;27.7428;;;;85.9195;;0.0991821;11.6241;
20120618;21;00;;;5.29387;;27.6245;;;;86.4152;;0.137329;-9.99e+08;
20120619;00;00;;;4.98445;;27.708;;;;86.0538;;0.038147;10.0943;
20120619;03;00;;;4.53931;;27.9624;;;;84.3332;;0.0762939;-9.99e+08;
20120619;06;00;;;3.95644;;28.0653;;;;83.8454;;0.114441;8.12429;
20120619;09;00;;;4.25253;;28.1779;;;;83.6142;;0.0534058;-9.99e+08;
20120619;12;00;;;4.22258;;28.1415;;;;83.9185;;0.0457764;7.05076;
20120619;15;00;;;4.59558;;28.1276;;;;82.4467;;0.144958;-9.99e+08;
20120619;18;00;;;3.28628;;27.9966;;;;81.7128;;0.00762939;7.77905;
20120619;21;00;;;2.16142;;27.5796;;;;83.2846;;0.038147;-9.99e+08;
20120620;00;00;;;5.41438;;26.9266;;;;87.0654;;0.320435;8.40811;
20120620;03;00;;;4.8956;;26.0243;;;;90.496;;0.846863;-9.99e+08;
20120620;06;00;;;6.05097;;26.1363;;;;89.4208;;0.50354;10.3199;
20120620;09;00;;;7.07954;;26.4867;;;;88.3231;;0.320435;-9.99e+08;
20120620;12;00;;;6.31011;;26.74;;;;86.5252;;0.549316;11.6179;
20120620;15;00;;;6.31011;;26.74;;;;86.5252;;0.228882;11.6179;
20120620;18;00;;;5.32882;;25.652;;;;88.5473;;2.28882;11.7679;
20120620;21;00;;;5.32882;;25.652;;;;88.5473;;2.28882;11.7679;
20120621;00;00;;;8.21573;;25.6191;;;;91.5775;;5.17273;13.3277;
